makeId,modelId,makeName,usage,year,IDV_Category,Price,modelName
20068,22095,Kia,New,2020,II,27247.3667,Sportage
20088,36417341,Toyota,New,2019,II,22744.9943,CorollaHatchback
20015,21146,Ford,New,2019,II,16473.875,Fiesta
20064,20605,Hyundai,New,2019,II,16879.3361,Accent
20053,20277,Chevrolet,New,2019,II,17230.0,1500
20068,27761,Kia,New,2019,II,20974.25,Soul
20053,35026,Chevrolet,New,2019,II,20038.975,Cruze
20068,40463,Kia,New,2018,II,25200.1667,OptimaHybrid
20006,36321969,Buick,New,2018,II,28003.0588,RegalSportback
20053,57328,Chevrolet,New,2018,II,25885.0,Trax
20015,21088,Ford,New,2019,II,26512.3167,Escape
20053,42324,Chevrolet,New,2018,II,19841.0,Sonic
20068,21828,Kia,New,2018,II,16201.3333,Rio
20053,57328,Chevrolet,New,2019,II,20972.8588,Trax
20015,28203,Ford,New,2020,II,26551.3125,TransitConnect
20064,36362537,Hyundai,New,2019,II,23024.9186,Kona
20030,36362434,Mitsubishi,New,2020,II,27998.0,EclipseCross
20077,20626,Nissan,New,2020,II,26241.6667,Altima
20053,21065,Chevrolet,New,2019,II,27109.2857,Equinox
20088,36273890,Toyota,New,2019,II,29756.6989,PriusPrime
20017,36586990,Honda,New,2019,II,25001.6951,CivicSi
20064,36301312,Hyundai,New,2018,II,26095.0,IoniqHybrid
20073,21446,Mazda,New,2018,II,26125.0,Mazda3
20073,21447,Mazda,New,2019,II,28041.5146,Mazda6
44763,30000373,RAM,New,2018,II,23616.2,ProMasterCity
20064,42323,Hyundai,New,2020,II,22471.6667,Veloster
20064,21899,Hyundai,New,2020,II,28576.8235,SantaFe
20060,51868,FIAT,New,2019,II,21721.5538,500L
20088,36283124,Toyota,New,2019,II,24013.812,CHR
20060,43523,FIAT,New,2018,II,21938.7778,500C
20015,28203,Ford,New,2017,II,27135.0,TransitConnect
20015,21712,Ford,New,2018,II,29455.0,Mustang
20089,22265,Volkswagen,New,2019,II,29109.2389,Tiguan
20053,21413,Chevrolet,New,2020,II,25289.6667,Malibu
20017,35363,Honda,New,2016,II,23625.0,CRZ
20077,20626,Nissan,New,2019,II,27319.1667,Altima
20064,22146,Hyundai,New,2018,II,24863.0,Sonata
20001,47843,Acura,New,2019,II,28367.2289,ILX
20053,22345,Chevrolet,New,2019,II,17230.0,Uplander
20064,20605,Hyundai,New,2020,II,17726.5,Accent
20053,27361,Chevrolet,New,2019,II,27293.1087,MalibuHybrid
20060,51868,FIAT,New,2018,II,20084.3333,500L
20012,21249,Dodge,New,2018,II,29078.5714,GrandCaravan
20064,20605,Hyundai,New,2018,II,19555.0,Accent
20089,36714179,Volkswagen,New,2019,II,26534.8722,JettaGLI
20073,30000208,Mazda,New,2019,II,23707.6233,CX3
20030,35966,Mitsubishi,New,2019,II,22093.7386,OutlanderSport
20015,28203,Ford,New,2018,II,26925.0,TransitConnect
20073,21490,Mazda,New,2017,II,19730.0,MazdaSpeedMiataMX5
20088,20861,Toyota,New,2020,II,22253.2092,Corolla
20064,22302,Hyundai,New,2019,II,24054.9611,Tucson
20064,39583,Hyundai,New,2018,II,24489.75,SonataHybrid
44763,30000373,RAM,New,2019,II,24457.275,ProMasterCity
20021,20864,Jeep,New,2018,II,26438.7273,Compass
20068,22095,Kia,New,2019,II,24590.8148,Sportage
20053,35026,Chevrolet,New,2018,II,23437.1429,Cruze
20053,57447,Chevrolet,New,2016,II,23075.3333,CityExpress
20077,22274,Nissan,New,2019,II,15964.3906,Versa
20077,36363005,Nissan,New,2018,II,20599.0,Kicks
20089,21242,Volkswagen,New,2019,II,25506.4783,Golf
20053,21065,Chevrolet,New,2018,II,26509.0,Equinox
20053,57447,Chevrolet,New,2017,II,20008.8333,CityExpress
20060,51868,FIAT,New,2016,II,21995.0,500L
20089,21758,Volkswagen,New,2018,II,26853.0,Passat
20077,21775,Nissan,New,2019,II,15490.0,Pickup
20089,27321,Volkswagen,New,2017,II,29779.0,CC
20060,53260,FIAT,New,2019,II,28025.8148,500e
20041,30031770,Subaru,New,2019,II,27060.8961,Crosstrek
20088,47567,Toyota,New,2018,II,21955.2,Priusc
20015,36284899,Ford,New,2019,II,22361.6585,EcoSport
20077,21145,Nissan,New,2019,II,27288.0455,Frontier
20021,56807,Jeep,New,2019,II,24097.3824,Renegade
20088,36620337,Toyota,New,2020,II,23619.1833,CorollaHybrid
20068,22095,Kia,New,2018,II,25752.6667,Sportage
20015,21138,Ford,New,2018,II,20170.0556,Focus
20053,22353,Chevrolet,New,2019,II,17230.0,NAME
20015,21175,Ford,New,2018,II,20662.5,Fusion
20015,21146,Ford,New,2018,II,17498.5833,Fiesta
20006,21071,Buick,New,2019,II,24136.9441,Encore
20073,21446,Mazda,New,2017,II,19730.0,Mazda3
20077,36293534,Nissan,New,2018,II,22844.0,RogueSport
20021,20814,Jeep,New,2019,II,27170.45,Cherokee
20060,33484310,FIAT,New,2017,II,23983.0,124Spider
20017,21300,Honda,New,2020,II,29270.0,Insight
20073,21446,Mazda,New,2019,II,25356.5028,Mazda3
20030,21742,Mitsubishi,New,2019,II,26065.7159,Outlander
20044,56208,Volvo,New,2017,II,29989.0,V60
20077,28283,Nissan,New,2019,II,15490.0,Cube
20089,21285,Volkswagen,New,2019,II,21924.6722,Jetta
20021,56807,Jeep,New,2018,II,22327.0,Renegade
20053,57447,Chevrolet,New,2015,II,23640.0,CityExpress
20077,52670,Nissan,New,2018,II,25295.0,0
20089,35864320,Volkswagen,New,2017,II,24998.0,GolfAlltrack
20030,34227059,Mitsubishi,New,2019,II,16238.1233,MirageG4
20060,58488,FIAT,New,2018,II,20929.6,500X
20064,36372410,Hyundai,New,2019,II,28713.5868,IoniqPlugInHybrid
20088,22331,Toyota,New,2018,II,17671.0,Yaris
20228,42803,smart,New,2018,II,27267.619,ForTwoElectricDrive
20041,21378,Subaru,New,2019,II,29162.6788,Legacy
20068,21740,Kia,New,2019,II,23613.1299,Optima
20017,21300,Honda,New,2019,II,25478.3575,Insight
20077,21894,Nissan,New,2019,II,27003.2222,Rogue
20088,36444091,Toyota,New,2019,II,17690.3758,YarisSedan
